#A list of event clusters (including useful properties) for visually identifying FE events.
#To read this CSV file into IDL, run: IDL> readcol,'compile_eventlist_visual_search_clusters.txt',clustid,datest,dateen,nevents,evdates,evlats,evlons,delim=';',comment='#',format='A,A,A,L,A,A,A'
#FORMAT; A,A,A,L,A,A,A
#CLUSTID;DATEST;DATEEN;NEVENTS;EVDATES;EVLATS;EVLONS
0000; 9-Jul-1996 03:01:20.000; 9-Jul-1996 15:00:16.000;           1; 9-Jul-1996 09:01:00.000;-10.0000;30.0000
0001;23-Sep-1997 20:43:44.000;24-Sep-1997 08:42:40.000;           1;24-Sep-1997 02:43:00.000;-31.0000;-19.0000
0002; 3-Nov-1997 23:51:28.000; 4-Nov-1997 11:52:32.000;           1; 4-Nov-1997 05:52:00.000;-14.0000;33.0000
0003; 6-Nov-1997 05:49:52.000; 6-Nov-1997 17:48:48.000;           1; 6-Nov-1997 11:49:00.000;-18.0000;63.0000
0004;27-Nov-1997 06:58:08.000;27-Nov-1997 18:59:12.000;           1;27-Nov-1997 12:59:00.000;17.0000;-63.0000
0005;27-Nov-1997 22:53:52.000;28-Nov-1997 10:52:48.000;           1;28-Nov-1997 04:53:00.000;15.0000;-61.0000
0006;29-Nov-1997 16:27:44.000;30-Nov-1997 04:28:48.000;           1;29-Nov-1997 22:28:00.000;15.0000;-38.0000
0007;27-Apr-1998 02:54:56.000;27-Apr-1998 14:56:00.000;           1;27-Apr-1998 08:55:00.000;-16.0000;-50.0000
0008;29-Apr-1998 10:05:52.000;29-Apr-1998 22:06:56.000;           1;29-Apr-1998 16:06:00.000;-18.0000;-20.0000
0009; 2-May-1998 07:30:08.000; 2-May-1998 19:31:12.000;           1; 2-May-1998 13:31:00.000;-15.0000;15.0000
0010; 6-May-1998 01:57:20.000; 6-May-1998 13:58:24.000;           1; 6-May-1998 07:58:00.000;-11.0000;65.0000
0011;18-Aug-1998 02:14:24.000;18-Aug-1998 14:13:20.000;           1;18-Aug-1998 08:14:00.000;33.0000;-68.0000
0012;18-Aug-1998 16:10:40.000;19-Aug-1998 04:09:36.000;           1;18-Aug-1998 22:10:00.000;33.0000;-87.0000
0013;19-Aug-1998 15:34:24.000;20-Aug-1998 03:35:28.000;           1;19-Aug-1998 21:35:00.000;32.0000;-75.0000
0014;21-Aug-1998 17:57:20.000;22-Aug-1998 05:56:16.000;           1;21-Aug-1998 23:57:00.000;42.0000;-51.0000
0015;24-Aug-1998 15:49:20.000;25-Aug-1998 03:50:24.000;           1;24-Aug-1998 21:50:00.000;35.0000;-9.00000
0016;23-Sep-1998 00:40:32.000;23-Sep-1998 12:39:28.000;           1;23-Sep-1998 06:40:00.000;18.0000;-9.00000
0017; 5-Nov-1998 13:00:48.000; 6-Nov-1998 00:59:44.000;           1; 5-Nov-1998 19:00:00.000;22.0000;18.0000
0018;22-Nov-1998 00:29:52.000;22-Nov-1998 22:09:04.000;           2;22-Nov-1998 06:30:00.000,22-Nov-1998 16:10:00.000;-27.0000,-30.0000;82.0000,89.0000
0019;23-Nov-1998 00:27:44.000;23-Nov-1998 12:28:48.000;           1;23-Nov-1998 06:28:00.000;-28.0000;89.0000
0020;27-Nov-1998 22:53:52.000;28-Nov-1998 10:54:56.000;           1;28-Nov-1998 04:54:00.000;17.0000;-32.0000
0021;18-Dec-1998 11:12:00.000;18-Dec-1998 23:13:04.000;           1;18-Dec-1998 17:13:00.000;19.0000;-64.0000
0022;28-Feb-1999 10:31:28.000;28-Feb-1999 22:30:24.000;           1;28-Feb-1999 16:31:00.000;28.0000;6.00000
0023;16-Mar-1999 15:34:24.000;17-Mar-1999 03:33:20.000;           1;16-Mar-1999 21:34:00.000;23.0000;39.0000
0024; 3-Apr-1999 23:15:12.000; 4-Apr-1999 11:14:08.000;           1; 4-Apr-1999 05:15:00.000;18.0000;-72.0000
0025; 9-May-1999 11:52:32.000; 9-May-1999 23:53:36.000;           1; 9-May-1999 17:53:00.000;18.0000;2.00000
0026;19-Jul-1999 02:16:32.000;19-Jul-1999 14:15:28.000;           1;19-Jul-1999 08:16:00.000;18.0000;-59.0000
0027;29-Jul-1999 13:30:40.000;30-Jul-1999 01:31:44.000;           1;29-Jul-1999 19:31:00.000;25.0000;-51.0000
0028; 2-Aug-1999 15:17:20.000; 3-Aug-1999 03:18:24.000;           1; 2-Aug-1999 21:18:00.000;-18.0000;46.0000
0029; 3-Aug-1999 23:45:04.000; 4-Aug-1999 11:44:00.000;           1; 4-Aug-1999 05:45:00.000;-16.0000;64.0000
0030;20-Aug-1999 17:04:00.000;21-Aug-1999 05:02:56.000;           1;20-Aug-1999 23:03:00.000;-25.0000;-64.0000
0031;21-Aug-1999 16:10:40.000;22-Aug-1999 04:09:36.000;           1;21-Aug-1999 22:10:00.000;-24.0000;-52.0000
0032;27-Aug-1999 06:49:36.000;27-Aug-1999 18:50:40.000;           1;27-Aug-1999 12:50:00.000;-23.0000;9.00000
0033;28-Aug-1999 11:52:32.000;28-Aug-1999 23:51:28.000;           1;28-Aug-1999 17:52:00.000;-26.0000;14.0000
0034;14-Oct-1999 02:54:56.000;14-Oct-1999 14:53:52.000;           1;14-Oct-1999 08:54:00.000;11.0000;-32.0000
0035;14-Nov-1999 01:53:04.000;14-Nov-1999 21:47:44.000;           2;14-Nov-1999 07:54:00.000,14-Nov-1999 15:47:00.000;-15.0000,18.0000;-27.0000,-63.0000
0036;17-Nov-1999 03:46:08.000;17-Nov-1999 15:47:12.000;           1;17-Nov-1999 09:47:00.000;17.0000;-21.0000
0037;25-Nov-1999 19:09:52.000;26-Nov-1999 07:10:56.000;           1;26-Nov-1999 01:10:00.000;-14.0000;55.0000
0038;26-Nov-1999 07:38:40.000;26-Nov-1999 19:37:36.000;           1;26-Nov-1999 13:38:00.000;-15.0000;59.0000
0039;27-Nov-1999 06:04:48.000;27-Nov-1999 18:05:52.000;           1;27-Nov-1999 12:05:00.000;-15.0000;68.0000
0040;22-Dec-1999 12:52:16.000;23-Dec-1999 00:51:12.000;           1;22-Dec-1999 18:52:00.000;24.0000;-19.0000
0041; 5-Feb-2000 13:17:52.000; 6-Feb-2000 01:16:48.000;           1; 5-Feb-2000 19:17:00.000;26.0000;-52.0000
0042; 2-Mar-2000 02:20:48.000; 2-Mar-2000 19:35:28.000;           2; 2-Mar-2000 08:20:00.000, 2-Mar-2000 13:35:00.000;-14.0000,-20.0000;52.0000,58.0000
0043;22-Mar-2000 12:33:04.000;23-Mar-2000 00:34:08.000;           1;22-Mar-2000 18:34:00.000;14.0000;57.0000
0044;24-Mar-2000 01:40:16.000;24-Mar-2000 13:41:20.000;           1;24-Mar-2000 07:41:00.000;16.0000;82.0000
0045; 2-Jun-2000 12:48:00.000; 3-Jun-2000 00:49:04.000;           1; 2-Jun-2000 18:48:00.000;16.0000;-60.0000
0046; 3-Jun-2000 13:13:36.000; 4-Jun-2000 01:12:32.000;           1; 3-Jun-2000 19:13:00.000;20.0000;-49.0000
0047; 6-Jun-2000 07:30:08.000; 6-Jun-2000 20:58:40.000;           3; 6-Jun-2000 13:30:00.000, 6-Jun-2000 13:56:00.000, 6-Jun-2000 14:58:00.000;20.0000,20.0000,20.0000;-12.0000,-11.6856,-13.0000
0048; 7-Jun-2000 09:33:52.000; 7-Jun-2000 21:34:56.000;           1; 7-Jun-2000 15:34:00.000;23.0000;-3.00000
0049;10-Jun-2000 10:40:00.000;10-Jun-2000 22:41:04.000;           1;10-Jun-2000 16:40:00.000;22.0000;38.0000
0050;17-Jun-2000 19:52:32.000;18-Jun-2000 07:51:28.000;           1;18-Jun-2000 01:52:00.000;23.0000;85.0000
0051; 9-Jul-2000 01:14:40.000; 9-Jul-2000 13:15:44.000;           1; 9-Jul-2000 07:15:00.000;16.0000;-72.0000
0052;10-Jul-2000 15:04:32.000;11-Jul-2000 03:05:36.000;           1;10-Jul-2000 21:05:00.000;18.0000;-49.0000
0053;12-Jul-2000 04:18:08.000;13-Jul-2000 00:40:32.000;           2;12-Jul-2000 10:18:00.000,12-Jul-2000 18:41:00.000;17.0000,16.0000;-27.0000,64.0000
0054;14-Jul-2000 04:03:12.000;14-Jul-2000 16:02:08.000;           1;14-Jul-2000 10:03:00.000;22.0000;7.00000
0055;15-Jul-2000 19:58:56.000;16-Jul-2000 08:00:00.000;           1;16-Jul-2000 01:59:00.000;9.00000;-81.0000
0056;19-Jul-2000 00:44:48.000;19-Jul-2000 12:45:52.000;           1;19-Jul-2000 06:45:00.000;-21.0000;-12.0000
0057;21-Jul-2000 08:29:52.000;21-Jul-2000 20:30:56.000;           1;21-Jul-2000 14:30:00.000;10.0000;-12.0000
0058;24-Jul-2000 20:43:44.000;25-Jul-2000 08:42:40.000;           1;25-Jul-2000 02:43:00.000;6.00000;8.00000
0059;15-Sep-2000 22:06:56.000;16-Sep-2000 10:05:52.000;           1;16-Sep-2000 04:06:00.000;14.0000;7.00000
0060;19-Sep-2000 02:05:52.000;19-Sep-2000 14:06:56.000;           1;19-Sep-2000 08:06:00.000;14.0000;46.0000
0061;30-Sep-2000 17:12:32.000; 1-Oct-2000 05:13:36.000;           1;30-Sep-2000 23:13:00.000;7.00000;91.0000
0062; 8-Nov-2000 16:42:40.000; 9-Nov-2000 04:41:36.000;           1; 8-Nov-2000 22:42:00.000;19.0000;65.0000
0063;23-Nov-2000 22:56:00.000;25-Nov-2000 06:58:08.000;           4;24-Nov-2000 04:55:00.000,24-Nov-2000 14:51:00.000,24-Nov-2000 21:43:00.000,25-Nov-2000 00:59:00.000;20.0000,22.0000,21.0000,7.00000;5.00000,7.00000,14.0000,-50.0000
0064;25-Nov-2000 12:33:04.000;26-Nov-2000 00:32:00.000;           1;25-Nov-2000 18:33:00.000;20.0000;23.0000
0065;26-Nov-2000 10:33:36.000;26-Nov-2000 22:34:40.000;           1;26-Nov-2000 16:34:00.000;18.0000;38.0000
0066;20-Jan-2001 15:06:40.000;21-Jan-2001 03:05:36.000;           1;20-Jan-2001 21:06:00.000;-7.00000;-46.0000
0067; 8-Mar-2001 05:13:36.000; 8-Mar-2001 17:12:32.000;           1; 8-Mar-2001 11:13:00.000;30.0000;18.0000
0068; 9-Mar-2001 22:00:32.000;10-Mar-2001 09:59:28.000;           1;10-Mar-2001 04:00:00.000;27.0000;42.0000
0069;29-Mar-2001 03:56:48.000;29-Mar-2001 15:57:52.000;           1;29-Mar-2001 09:57:00.000;20.0000;19.0000
0070; 1-Apr-2001 04:54:24.000; 1-Apr-2001 16:55:28.000;           1; 1-Apr-2001 10:55:00.000;-8.00000;91.0000
0071; 2-Apr-2001 04:03:12.000; 3-Apr-2001 09:25:20.000;           4; 2-Apr-2001 10:04:00.000, 2-Apr-2001 10:58:00.000, 2-Apr-2001 21:32:00.000, 3-Apr-2001 03:25:00.000;17.0000,16.0000,17.0000,-21.0000;60.0000,62.0000,71.1295,-83.0000
0072; 5-Apr-2001 02:37:52.000; 5-Apr-2001 22:56:00.000;           2; 5-Apr-2001 08:37:00.000, 5-Apr-2001 16:57:00.000;-10.0000,-24.0000;-23.1736,-50.0000
0073; 6-Apr-2001 13:09:20.000; 7-Apr-2001 01:10:24.000;           1; 6-Apr-2001 19:10:00.000;-21.0000;-31.0000
0074; 9-Apr-2001 09:18:56.000; 9-Apr-2001 21:20:00.000;           1; 9-Apr-2001 15:20:00.000;-21.0000;4.00000
0075; 9-Apr-2001 23:06:40.000;10-Apr-2001 11:05:36.000;           1;10-Apr-2001 05:06:00.000;-23.0000;9.00000
0076;12-Apr-2001 03:39:44.000;12-Apr-2001 15:38:40.000;           1;12-Apr-2001 09:39:00.000;-19.0000;43.0000
